alias,name,noise_level,url,scraped_at,error
-DrR38H1Abk0wCyu9XOLug,Sweet Maple,,https://www.yelp.com/biz/-DrR38H1Abk0wCyu9XOLug,,Failed to fetch
-YjAij8BA3JgwIA9QWR6Tg,Noe Indian Cuisine,quiet,https://www.yelp.com/biz/-YjAij8BA3JgwIA9QWR6Tg,2026-04-22T06:50:28.897282+00:00,
-c4PVZ6ceySFd4DiVAuoBQ,Little Original Joes,moderate_noise,https://www.yelp.com/biz/-c4PVZ6ceySFd4DiVAuoBQ,2026-04-22T07:25:04.931679+00:00,
-ll5zMoJ-WXrUPWHwATZmA, Ll5Zmoj Wxrupwhwatzma,,https://www.yelp.com/biz/-ll5zMoJ-WXrUPWHwATZmA,,Failed to fetch
00T9XFL53pjv_tceQ8fguA,Karam,,https://www.yelp.com/biz/00T9XFL53pjv_tceQ8fguA,2026-04-22T06:49:55.399878+00:00,
055dTcfz2AOAFPed_2KjEQ,Nopalito,moderate_noise,https://www.yelp.com/biz/055dTcfz2AOAFPed_2KjEQ,2026-04-22T06:41:30.740806+00:00,
0JBX5bhvJZhmV2Mv0-bBmg,Komeya No Bento,,https://www.yelp.com/biz/0JBX5bhvJZhmV2Mv0-bBmg,,Failed to fetch
0PLv5h5eRTG6fuWLpUmf4A,Brazen Head,moderate_noise,https://www.yelp.com/biz/0PLv5h5eRTG6fuWLpUmf4A,2026-04-22T06:48:36.709771+00:00,
0V6h6rTiOZnHFN-qj_-iyw,0V6H6Rtioznhfn Qj_ Iyw,,https://www.yelp.com/biz/0V6h6rTiOZnHFN-qj_-iyw,2026-04-22T07:11:48.754431+00:00,
0YPcBWiU-8t2kGe-DOhW5g,0Ypcbwiu 8T2Kge Dohw5G,,https://www.yelp.com/biz/0YPcBWiU-8t2kGe-DOhW5g,,Failed to fetch
0l7MgfpsIi2-vTuCVdDccg,Mochica,,https://www.yelp.com/biz/0l7MgfpsIi2-vTuCVdDccg,,Failed to fetch
0mNzmmh1mrdh5Cpg2QUBiw,Lapisara Eatery,,https://www.yelp.com/biz/0mNzmmh1mrdh5Cpg2QUBiw,,Failed to fetch
0wqsFH-Z_Chg3O6N-d0PAg,0Wqsfh Z_Chg3O6N D0Pag,moderate_noise,https://www.yelp.com/biz/0wqsFH-Z_Chg3O6N-d0PAg,2026-04-22T06:49:07.656619+00:00,
101-eatery-south-san-francisco-2,101 Eatery,,https://www.yelp.com/biz/101-eatery-south-san-francisco-2,2026-04-22T07:14:13.845830+00:00,
1601-bar-and-kitchen-san-francisco,1601 Bar And Kitchen,moderate_noise,https://www.yelp.com/biz/1601-bar-and-kitchen-san-francisco,2026-04-22T07:13:57.748678+00:00,
16th-street-diner-san-francisco,16Th Street Diner,,https://www.yelp.com/biz/16th-street-diner-san-francisco,2026-04-22T06:50:02.693244+00:00,
1IqqA8pcuCIWJtuKfHwU8g,Nojo Ramen Tavern,loud,https://www.yelp.com/biz/1IqqA8pcuCIWJtuKfHwU8g,2026-04-22T07:25:36.250724+00:00,
1VLzwYB9ciRjdbTktwwsAg,Habibi Falafel,,https://www.yelp.com/biz/1VLzwYB9ciRjdbTktwwsAg,2026-04-22T07:14:13.618424+00:00,
1VsJ5m3ol7L2AAbtO5oYxw,Kokio Republic,,https://www.yelp.com/biz/1VsJ5m3ol7L2AAbtO5oYxw,2026-04-22T07:14:19.379570+00:00,
20-spot-san-francisco,20 Spot,moderate_noise,https://www.yelp.com/biz/20-spot-san-francisco,2026-04-22T07:31:45.300701+00:00,
21wF1dQFS2bEL56DuqxRsw,Eats,,https://www.yelp.com/biz/21wF1dQFS2bEL56DuqxRsw,,Failed to fetch
2BCWdn_ltDjzHGhVOIAfDA,Back To Back,,https://www.yelp.com/biz/2BCWdn_ltDjzHGhVOIAfDA,2026-04-22T06:26:53.313544+00:00,
2DihFta_jZB8aAiL_zjp9A,Epic Steak,moderate_noise,https://www.yelp.com/biz/2DihFta_jZB8aAiL_zjp9A,2026-04-22T06:46:16.889404+00:00,
2E9O-p-lp587aOMnpLepkQ,2E9O P Lp587Aomnplepkq,,https://www.yelp.com/biz/2E9O-p-lp587aOMnpLepkQ,,Failed to fetch
2H4HtGBwT8KRfUuWmE3uAg,Bota,moderate_noise,https://www.yelp.com/biz/2H4HtGBwT8KRfUuWmE3uAg,2026-04-22T07:13:15.744346+00:00,
2HY8Z7uRLv6bQAjt-71Mkw,Caf%C3%A9 De Olla,moderate_noise,https://www.yelp.com/biz/2HY8Z7uRLv6bQAjt-71Mkw,2026-04-22T06:50:15.387347+00:00,
2HkCgE_-ZzJS6k5Gb4LKHw,Sushi Shio,quiet,https://www.yelp.com/biz/2HkCgE_-ZzJS6k5Gb4LKHw,2026-04-22T06:46:10.839583+00:00,
2IgUNNcCoUcmhiv5ei-Vlw,Plain Jane,,https://www.yelp.com/biz/2IgUNNcCoUcmhiv5ei-Vlw,,Failed to fetch
2KpVYd8WcRj11xEpryOL6Q,Al Masri,moderate_noise,https://www.yelp.com/biz/2KpVYd8WcRj11xEpryOL6Q,2026-04-22T07:12:25.793114+00:00,
2RbfpwB4K41UXpLjxMtNIg,Cultivar,,https://www.yelp.com/biz/2RbfpwB4K41UXpLjxMtNIg,,Failed to fetch
2V36BGuNFyrnzYIdsvsehw,Kuma Sushi Sake,moderate_noise,https://www.yelp.com/biz/2V36BGuNFyrnzYIdsvsehw,2026-04-22T07:13:21.945369+00:00,
2ZV1b_J6ZdFR7d3y6Dbweg,Cholita Linda,,https://www.yelp.com/biz/2ZV1b_J6ZdFR7d3y6Dbweg,,Failed to fetch
